20210731132556,15.52,100339.66,15.43,57.36,NW,0.00,0.00,snr,snr
20210731132653,15.53,100337.86,15.44,57.31,NW,0.00,0.00,snr,snr
20210731132751,15.52,100339.33,15.44,57.45,NW,0.00,0.00,snr,snr
20210731132849,15.53,100341.02,15.45,57.36,NW,0.00,0.00,snr,snr
20210731132947,15.54,100339.80,15.46,56.97,NW,0.00,0.00,snr,snr
20210731133051,15.54,100338.50,15.47,56.83,NW,0.00,0.00,snr,snr
20210731133149,15.58,100334.72,15.48,56.86,NW,0.00,0.00,snr,snr
20210731133240,15.61,100335.58,15.51,56.94,NW,0.00,0.00,snr,snr
20210731133338,15.67,100337.52,15.54,56.88,NW,0.00,0.00,snr,snr
20210731133436,15.71,100336.70,15.57,56.97,NW,0.00,0.00,snr,snr
20210731133534,15.70,100336.94,15.59,56.63,NW,0.00,0.00,snr,snr
20210731133631,15.71,100339.11,15.60,56.71,NW,0.00,0.00,snr,snr
20210731133736,15.69,100342.25,15.61,56.77,NW,0.00,0.00,snr,snr
20210731133834,15.72,100339.89,15.62,56.74,NW,0.00,0.00,snr,snr
20210731133925,15.73,100340.52,15.65,56.63,NW,0.00,0.00,snr,snr
20210731134023,15.73,100338.81,15.66,56.65,NW,0.00,0.00,snr,snr
20210731134121,15.76,100339.38,15.67,56.77,NW,0.00,0.00,snr,snr
20210731134218,15.79,100337.47,15.69,56.71,NW,0.00,0.00,snr,snr
20210731134316,15.78,100335.83,15.69,56.48,NW,0.00,0.00,snr,snr
20210731134437,15.82,100335.23,15.71,56.71,NW,0.00,0.00,snr,snr
20210731134537,15.88,100332.55,15.75,56.93,NW,0.00,0.00,snr,snr
20210731134635,15.95,100327.04,15.78,56.74,NW,0.00,0.00,snr,snr
20210731134734,15.94,100327.92,15.83,56.43,NW,0.00,0.00,snr,snr
20210731134822,15.92,100322.54,15.84,56.17,NW,0.00,0.00,snr,snr
20210731134921,15.93,100321.47,15.87,56.37,NW,0.00,0.00,snr,snr
20210731135019,15.93,100320.69,15.88,56.20,NW,0.00,0.00,snr,snr
20210731135117,15.95,100318.80,15.88,56.06,NW,0.00,0.00,snr,snr
20210731135222,15.98,100318.31,15.91,56.68,NW,0.00,0.00,snr,snr
20210731135320,16.06,100318.55,15.93,56.09,NW,0.00,0.00,snr,snr
20210731135418,16.09,100319.10,15.99,55.84,NW,0.00,0.00,snr,snr
20210731135509,16.09,100316.35,16.02,55.64,NW,0.00,0.00,snr,snr
20210731135607,16.06,100309.52,16.02,55.38,NW,0.00,0.00,snr,snr
20210731135704,16.09,100307.62,16.03,55.89,NW,0.00,0.00,snr,snr
20210731135802,16.10,100305.05,16.04,55.97,NW,0.00,0.00,snr,snr
20210731135900,16.11,100304.03,16.05,55.21,NW,0.00,0.00,snr,snr
20210731140004,16.06,100299.87,16.05,54.45,NW,0.00,0.00,snr,snr
20210731140102,16.04,100300.09,16.05,54.45,NW,0.00,0.00,snr,snr
20210731140153,16.08,100297.30,16.06,54.51,NW,0.00,0.00,snr,snr
20210731140251,16.07,100301.64,16.07,54.19,NW,0.00,0.00,snr,snr
20210731140349,16.06,100303.78,16.06,54.14,NW,0.00,0.00,snr,snr
20210731140447,16.05,100306.64,16.06,54.17,NW,0.00,0.00,snr,snr
20210731140544,16.04,100309.66,16.05,54.06,NW,0.00,0.00,snr,snr
20210731140649,16.05,100311.48,16.05,54.11,NW,0.00,0.00,snr,snr
20210731140747,16.03,100309.33,16.05,53.97,NW,0.00,0.00,snr,snr
20210731140838,16.05,100310.25,16.04,54.00,NW,0.00,0.00,snr,snr
20210731140936,16.08,100310.64,16.04,54.45,NW,0.00,0.00,snr,snr
20210731141033,16.12,100312.23,16.06,55.74,NW,0.00,0.00,snr,snr
20210731141131,16.15,100319.77,16.10,54.53,NW,0.00,0.00,snr,snr
20210731141229,16.16,100323.28,16.13,54.62,NW,0.00,0.00,snr,snr
20210731141334,16.21,100325.90,16.15,54.67,NW,0.00,0.00,snr,snr
20210731141448,16.22,100329.44,16.18,54.47,NW,0.00,0.00,snr,snr
20210731141547,16.23,100331.73,16.19,54.33,NW,0.00,0.00,snr,snr
20210731141646,16.28,100332.33,16.21,54.39,NW,0.00,0.00,snr,snr
20210731141735,16.33,100332.84,16.25,54.30,NW,0.00,0.00,snr,snr
20210731141835,16.33,100332.92,16.28,54.47,NW,0.00,0.00,snr,snr
20210731141930,16.33,100332.50,16.30,54.44,NW,0.00,0.00,snr,snr
