"Time","Pressão Atmosférica","Pressão Atmosférica Reduzida ao Nível do Mar"
2021-06-02 00:00:00,,
2021-06-02 00:01:00,,
2021-06-02 00:02:00,,
2021-06-02 00:03:00,,
2021-06-02 00:04:00,,
2021-06-02 00:05:00,,
2021-06-02 00:06:00,,
2021-06-02 00:07:00,,
2021-06-02 00:08:00,,
2021-06-02 00:09:00,,
2021-06-02 00:10:00,,
2021-06-02 00:11:00,,
2021-06-02 00:12:00,,
2021-06-02 00:13:00,,
2021-06-02 00:14:00,,
2021-06-02 00:15:00,,
2021-06-02 00:16:00,,
2021-06-02 00:17:00,,
2021-06-02 00:18:00,,
2021-06-02 00:19:00,,
2021-06-02 00:20:00,,
2021-06-02 00:21:00,,
2021-06-02 00:22:00,,
2021-06-02 00:23:00,,
2021-06-02 00:24:00,,
2021-06-02 00:25:00,,
2021-06-02 00:26:00,,
2021-06-02 00:27:00,,
2021-06-02 00:28:00,,
2021-06-02 00:29:00,,
2021-06-02 00:30:00,,
2021-06-02 00:31:00,,
2021-06-02 00:32:00,,
2021-06-02 00:33:00,,
2021-06-02 00:34:00,,
2021-06-02 00:35:00,,
2021-06-02 00:36:00,,
2021-06-02 00:37:00,,
2021-06-02 00:38:00,,
2021-06-02 00:39:00,,
2021-06-02 00:40:00,,
2021-06-02 00:41:00,,
2021-06-02 00:42:00,,
2021-06-02 00:43:00,,
2021-06-02 00:44:00,,
2021-06-02 00:45:00,,
2021-06-02 00:46:00,,
2021-06-02 00:47:00,,
2021-06-02 00:48:00,,
2021-06-02 00:49:00,,
2021-06-02 00:50:00,,
2021-06-02 00:51:00,,
2021-06-02 00:52:00,,
2021-06-02 00:53:00,,
2021-06-02 00:54:00,,
2021-06-02 00:55:00,,
2021-06-02 00:56:00,,
2021-06-02 00:57:00,,
2021-06-02 00:58:00,,
2021-06-02 00:59:00,,
2021-06-02 01:00:00,,
2021-06-02 01:01:00,,
2021-06-02 01:02:00,,
2021-06-02 01:03:00,,
2021-06-02 01:04:00,,
2021-06-02 01:05:00,,
2021-06-02 01:06:00,,
2021-06-02 01:07:00,,
2021-06-02 01:08:00,,
2021-06-02 01:09:00,,
2021-06-02 01:10:00,,
2021-06-02 01:11:00,,
2021-06-02 01:12:00,,
2021-06-02 01:13:00,988.8113000000001,1012.8113000000001
2021-06-02 01:14:00,988.822,1012.822
2021-06-02 01:15:00,988.8325,1012.8325
2021-06-02 01:16:00,988.8380000000001,1012.8380000000001
2021-06-02 01:17:00,988.8344000000001,1012.8344000000001
2021-06-02 01:18:00,988.8256,1012.8256
2021-06-02 01:19:00,988.8431,1012.8431
2021-06-02 01:20:00,988.8398,1012.8398
2021-06-02 01:21:00,988.8204,1012.8204
2021-06-02 01:22:00,988.82755,1012.82755
2021-06-02 01:23:00,988.8414,1012.8414
2021-06-02 01:24:00,988.8222999999999,1012.8222999999999
2021-06-02 01:25:00,988.8100000000001,1012.8100000000001
2021-06-02 01:26:00,988.7889,1012.7889
2021-06-02 01:27:00,988.8116000000001,1012.8116000000001
2021-06-02 01:28:00,988.8503000000001,1012.8503000000001
2021-06-02 01:29:00,988.8487,1012.8487
2021-06-02 01:30:00,988.8399000000001,1012.8399000000001
2021-06-02 01:31:00,988.8431,1012.8431
2021-06-02 01:32:00,988.8238000000001,1012.8238000000001
2021-06-02 01:33:00,988.7994,1012.7994
2021-06-02 01:34:00,988.8047,1012.8047
2021-06-02 01:35:00,988.7906,1012.7906
2021-06-02 01:36:00,988.775,1012.775
2021-06-02 01:37:00,988.7697000000001,1012.7697000000001
2021-06-02 01:38:00,988.7573,1012.7573
2021-06-02 01:39:00,988.7767,1012.7767
2021-06-02 01:40:00,988.7872,1012.7872
2021-06-02 01:41:00,988.7959,1012.7959
2021-06-02 01:42:00,988.7766,1012.7766
2021-06-02 01:43:00,988.8116000000001,1012.8116000000001
2021-06-02 01:44:00,988.773,1012.773
2021-06-02 01:45:00,988.7396000000001,1012.7396000000001
2021-06-02 01:46:00,988.7327,1012.7327
2021-06-02 01:47:00,988.7469000000001,1012.7469000000001
2021-06-02 01:48:00,988.7556,1012.7556
2021-06-02 01:49:00,988.773,1012.773
2021-06-02 01:50:00,988.7975,1012.7975
2021-06-02 01:51:00,988.7888,1012.7888
2021-06-02 01:52:00,988.8133,1012.8133
2021-06-02 01:53:00,988.7922,1012.7922
2021-06-02 01:54:00,988.7502000000001,1012.7502000000001
2021-06-02 01:55:00,988.7341,1012.7341
2021-06-02 01:56:00,988.7553,1012.7553
2021-06-02 01:57:00,988.79465,1012.79465
2021-06-02 01:58:00,988.8205,1012.8205
2021-06-02 01:59:00,988.8291,1012.8291
2021-06-02 02:00:00,988.7991000000001,1012.7991000000001
2021-06-02 02:01:00,988.8148,1012.8148
2021-06-02 02:02:00,988.8202000000001,1012.8202000000001
2021-06-02 02:03:00,988.7972000000001,1012.7972000000001
2021-06-02 02:04:00,988.8413,1012.8413
2021-06-02 02:05:00,988.8114,1012.8114
2021-06-02 02:06:00,988.8148,1012.8148
2021-06-02 02:07:00,988.82,1012.82
2021-06-02 02:08:00,988.8131,1012.8131
2021-06-02 02:09:00,988.8095,1012.8095
2021-06-02 02:10:00,988.8498,1012.8498
2021-06-02 02:11:00,988.8781,1012.8781
2021-06-02 02:12:00,988.9182000000001,1012.9182000000001
2021-06-02 02:13:00,988.9902000000001,1012.9902000000001
2021-06-02 02:14:00,989.0391000000001,1013.0391000000001
2021-06-02 02:15:00,989.1152000000001,1013.1152000000001
2021-06-02 02:16:00,989.1758000000001,1013.1758000000001
2021-06-02 02:17:00,989.1636,1013.1636
2021-06-02 02:18:00,989.2142,1013.2142
2021-06-02 02:19:00,989.2334,1013.2334
2021-06-02 02:20:00,989.2317,1013.2317
2021-06-02 02:21:00,989.2213,1013.2213
2021-06-02 02:22:00,989.2266000000001,1013.2266000000001
2021-06-02 02:23:00,989.2478,1013.2478
2021-06-02 02:24:00,989.2845,1013.2845
2021-06-02 02:25:00,989.3338000000001,1013.3338000000001
2021-06-02 02:26:00,989.3408000000001,1013.3408000000001
2021-06-02 02:27:00,989.3249000000001,1013.3249000000001
2021-06-02 02:28:00,989.3128,1013.3128
2021-06-02 02:29:00,989.3478,1013.3478
2021-06-02 02:30:00,989.3566000000001,1013.3566000000001
2021-06-02 02:31:00,989.4073,1013.4073
2021-06-02 02:32:00,989.4127000000001,1013.4127000000001
2021-06-02 02:33:00,989.4617000000001,1013.4617000000001
2021-06-02 02:34:00,989.5022,1013.5022
2021-06-02 02:35:00,989.523,1013.523
2021-06-02 02:36:00,989.518,1013.518
2021-06-02 02:37:00,989.5106,1013.5106
2021-06-02 02:38:00,989.5052000000001,1013.5052000000001
2021-06-02 02:39:00,989.4947000000001,1013.4947000000001
2021-06-02 02:40:00,989.4966000000001,1013.4966000000001
2021-06-02 02:41:00,989.4593,1013.4593
2021-06-02 02:42:00,989.407,1013.407
2021-06-02 02:43:00,989.4314,1013.4314
2021-06-02 02:44:00,989.4066,1013.4066
2021-06-02 02:45:00,989.3873,1013.3873
2021-06-02 02:46:00,989.3906,1013.3906
2021-06-02 02:47:00,989.3588000000001,1013.3588000000001
2021-06-02 02:48:00,989.4114000000001,1013.4114000000001
2021-06-02 02:49:00,989.404,1013.404
2021-06-02 02:50:00,989.4513000000001,1013.4513000000001
2021-06-02 02:51:00,989.4782,1013.4782
2021-06-02 02:52:00,989.5052000000001,1013.5052000000001
2021-06-02 02:53:00,989.5438,1013.5438
2021-06-02 02:54:00,989.5572000000001,1013.5572000000001
2021-06-02 02:55:00,989.5851,1013.5851
2021-06-02 02:56:00,989.5708999999999,1013.5708999999999
2021-06-02 02:57:00,989.5566,1013.5566
2021-06-02 02:58:00,989.5427000000001,1013.5427000000001
2021-06-02 02:59:00,989.6135,1013.6135
2021-06-02 03:00:00,989.5614,1013.5614
2021-06-02 03:01:00,989.5580000000001,1013.5580000000001
2021-06-02 03:02:00,989.5755,1013.5755
2021-06-02 03:03:00,989.5452,1013.5452
2021-06-02 03:04:00,989.5663000000001,1013.5663000000001
2021-06-02 03:05:00,989.5748,1013.5748
2021-06-02 03:06:00,989.5608000000001,1013.5608000000001
2021-06-02 03:07:00,989.5553,1013.5553
2021-06-02 03:08:00,989.5798,1013.5798
2021-06-02 03:09:00,989.5663999999999,1013.5663999999999
2021-06-02 03:10:00,989.5797,1013.5797
2021-06-02 03:11:00,989.5866000000001,1013.5866000000001
2021-06-02 03:12:00,989.6038000000001,1013.6038000000001
2021-06-02 03:13:00,989.5844000000001,1013.5844000000001
2021-06-02 03:14:00,989.6125999999999,1013.6125999999999
2021-06-02 03:15:00,989.5912,1013.5912
2021-06-02 03:16:00,989.5944000000001,1013.5944000000001
2021-06-02 03:17:00,989.5786,1013.5786
2021-06-02 03:18:00,989.5892,1013.5892
2021-06-02 03:19:00,989.5769,1013.5769
2021-06-02 03:20:00,989.554,1013.554
2021-06-02 03:21:00,989.5123,1013.5123
2021-06-02 03:22:00,989.4960000000001,1013.4960000000001
2021-06-02 03:23:00,989.4752000000001,1013.4752000000001
